Date,Daily Charge (GBP)
04/03/2016,-5.30
05/03/2016,-4.80
06/03/2016,-1.50
07/03/2016,-3.00
09/03/2016,-6.50
11/03/2016,-5.30
12/03/2016,-2.40
13/03/2016,-6.50
15/03/2016,-4.80
18/03/2016,-5.30
24/03/2016,-7.60
25/03/2016,-2.40
28/03/2016,-2.40
31/03/2016,-6.50
15/01/2016,-5.80
16/01/2016,-5.40
17/01/2016,-1.50
18/01/2016,-6.50
19/01/2016,-5.80
20/01/2016,-5.80
21/01/2016,-6.50
22/01/2016,-6.50
23/01/2016,-1.30
25/01/2016,-5.80
26/01/2016,-5.80
27/01/2016,-6.50
28/01/2016,-6.50
29/01/2016,-7.60
30/01/2016,-2.40
31/01/2016,-1.50
06/02/2016,-4.80
08/02/2016,-5.80
09/02/2016,-7.70
11/02/2016,-5.30
12/02/2016,-5.30
13/02/2016,-11.80
15/02/2016,-5.80
16/02/2016,-5.80
21/02/2016,-4.80
22/02/2016,-3.00
25/02/2016,-7.60
26/02/2016,-8.20
29/02/2016,-6.50
01/12/2015,-5.20
02/12/2015,-5.80
03/12/2015,-5.80
04/12/2015,-4.80
06/12/2015,-1.50
08/12/2015,-11.00
09/12/2015,-5.80
10/12/2015,-6.40
11/12/2015,-7.50
12/12/2015,-6.60
14/12/2015,-5.80
17/12/2015,-3.30
01/04/2016,-5.80
08/04/2016,-6.50
09/04/2016,-1.50
12/04/2016,-3.20
14/04/2016,-1.50
15/04/2016,-6.50
16/04/2016,-3.90
20/04/2016,-3.90
22/04/2016,-6.50
25/04/2016,-7.60
26/04/2016,-6.50
29/04/2016,-1.50
30/04/2016,-6.50
